time,learning_rate,step,loss,accuracy
6061.380351781845,0.001,834,0.55296004,0.55
6068.4932770729065,0.001,835,1.0164572,0.54
6075.689886569977,0.001,836,0.9464402,0.58
6082.840749740601,0.001,837,0.5283549,0.61
6089.915866136551,0.001,838,0.30033317,0.72
6097.156900405884,0.001,839,0.19759056,0.68
6104.162583589554,0.001,840,0.10613101,0.71
6111.846252202988,0.001,841,0.07213378,0.74
6118.944718122482,0.001,842,0.03302153,0.73
6126.087992429733,0.001,843,0.035063177,0.75
6133.223507404327,0.001,844,0.05415152,0.75
6140.306809663773,0.001,845,0.040765766,0.73
6147.534805297852,0.001,846,0.027236845,0.74
6154.629993438721,0.001,847,0.0233867,0.74
6161.827409744263,0.001,848,0.01814254,0.73
6168.994023799896,0.001,849,0.05175157,0.74
6176.043882846832,0.001,850,0.021761663,0.75
6183.192748785019,0.001,851,0.01909465,0.73
6190.362154006958,0.001,852,0.031096745,0.73
6197.5007083415985,0.001,853,0.020892614,0.7
6204.726521730423,0.001,854,0.02342294,0.72
6211.850421190262,0.001,855,0.03099999,0.69
6219.068243026733,0.001,856,0.021925565,0.72
6226.280737400055,0.001,857,0.029926801,0.68
6233.374529838562,0.001,858,0.022096785,0.7
6240.453235387802,0.001,859,0.09700956,0.62
6247.594080448151,0.001,860,0.3616701,0.57
6254.764424085617,0.001,861,1.1441554,0.48
6261.913162469864,0.001,862,1.4956874,0.55
6269.050394773483,0.001,863,1.9342065,0.47
6276.177354812622,0.001,864,1.2167026,0.63
6283.281054496765,0.001,865,0.5920893,0.66
6290.3941304683685,0.001,866,0.289291,0.63
6297.536459684372,0.001,867,0.18131056,0.68
6304.681014537811,0.001,868,0.11281028,0.72
6312.166020870209,0.001,869,0.066034704,0.71
6319.302143096924,0.001,870,0.10672978,0.77
6326.385985374451,0.001,871,0.06874057,0.7
6333.599773645401,0.001,872,0.06793388,0.72
6340.60594534874,0.001,873,0.03395658,0.7
6347.685175895691,0.001,874,0.02846592,0.7
6354.746335268021,0.001,875,0.02899513,0.71
6361.928221702576,0.001,876,0.021902272,0.7
6369.152287721634,0.001,877,0.019768432,0.71
6376.465015172958,0.001,878,0.029948644,0.71
6383.57710647583,0.001,879,0.03376997,0.7
6390.739792346954,0.001,880,0.0120874485,0.72
6397.86159491539,0.001,881,0.029606707,0.72
